model, dataset, max_depth, train_time, ub, lb, mip_gap, time_improvement, gap_improvement
FlowOCT-Benders, banknote_authentication, 2, 9.281307659999584, 1229.0, 1229.0, 0.0, #N/A, #N/A
FlowOCT-Benders, banknote_authentication, 3, 600.0279908700031, 1339.333333333333, 1295.0, 0.034234234234234, #N/A, #N/A
FlowOCT-Benders, banknote_authentication, 4, 600.0413300569999, 1372.0, 1315.0, 0.04334600760456274, #N/A, #N/A
FlowOCT-Benders, blood_transfusion, 2, 4.662331709998398, 577.0, 577.0, 0.0, #N/A, #N/A
FlowOCT-Benders, blood_transfusion, 3, 600.027160919999, 676.1111111111113, 587.0, 0.15180768502744688, #N/A, #N/A
FlowOCT-Benders, blood_transfusion, 4, 600.0263235679995, 747.0, 593.000001888625, 0.2596964546726911, #N/A, #N/A
FlowOCT-Benders, ionosphere, 2, 65.02140339200196, 305.0, 305.0, 0.0, #N/A, #N/A
FlowOCT-Benders, ionosphere, 3, 600.0318301570005, 351.0, 317.999999999989, 0.10377358490569866, #N/A, #N/A
FlowOCT-Benders, ionosphere, 4, 600.0358971360001, 351.0, 319.0, 0.10031347962382445, #N/A, #N/A
FlowOCT-Benders, parkinsons, 2, 12.802443060998485, 176.3333333333331, 176.0, 0.0018939393939379943, #N/A, #N/A
FlowOCT-Benders, parkinsons, 3, 600.0284727090002, 195.0, 185.00000024941815, 0.054054052632971826, #N/A, #N/A
FlowOCT-Benders, parkinsons, 4, 600.0281302170006, 195.0, 194.0, 0.005154639175257732, #N/A, #N/A
OCT, balance_scale, 2, 43.888749431996985, 426.0, 426.0, 0.0, #N/A, #N/A
OCT, balance_scale, 3, 600.7323992129968, 625.0, 458.0, 0.3646288209606987, #N/A, #N/A
OCT, balance_scale, 4, 601.8013119780007, 625.0, 369.0, 0.6937669376693767, #N/A, #N/A
OCT, congressional_voting_records, 2, 42.69288783000229, 418.0, 418.0, 0.0, #N/A, #N/A
OCT, congressional_voting_records, 3, 600.7499153789977, 435.0, 421.0, 0.0332541567695962, #N/A, #N/A
OCT, congressional_voting_records, 4, 601.9710479679998, 435.0, 418.0, 0.04066985645933014, #N/A, #N/A
OCT, soybean_small, 2, 0.6381973370007472, 47.0, 47.0, 0.0, #N/A, #N/A
OCT, soybean_small, 3, 0.7285488560009981, 47.0, 47.0, 0.0, #N/A, #N/A
OCT, soybean_small, 4, 3.2696069340017857, 47.0, 47.0, 0.0, #N/A, #N/A
OCT, iris, 2, 18.354999220005993, 144.0, 144.0, 0.0, #N/A, #N/A
OCT, iris, 3, 246.11651868199988, 149.0, 149.0, 0.0, #N/A, #N/A
OCT, iris, 4, 16.204479189997073, 150.0, 150.0, 0.0, #N/A, #N/A
OCT, wine, 2, 113.3346387499987, 172.0, 172.0, 0.0, #N/A, #N/A
